level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2480	701	-1	
2	1	1	0	0	0	853	58	331	28	-1	
3	1	1	1	0	0	853	58	331	28	-1	
4	1	1	1	1	0	853	58	331	28	-1	
5	1	1	1	1	1	853	58	90	28	96.329300	Total
5	1	1	1	1	2	956	58	145	28	96.224686	Without
5	1	1	1	1	3	1112	59	72	27	96.445221	VAT
2	1	2	0	0	0	2188	57	147	30	-1	
3	1	2	1	0	0	2188	57	147	30	-1	
4	1	2	1	1	0	2188	57	147	30	-1	
5	1	2	1	1	1	2188	57	147	30	93.133278	7,000.00
2	1	3	0	0	0	856	135	156	27	-1	
3	1	3	1	0	0	856	135	156	27	-1	
4	1	3	1	1	0	856	135	156	27	-1	
5	1	3	1	1	1	856	135	156	27	96.335846	Discount
2	1	4	0	0	0	1787	135	151	33	-1	
3	1	4	1	0	0	1787	135	151	33	-1	
4	1	4	1	1	0	1787	135	151	33	-1	
5	1	4	1	1	1	1787	131	58	41	67.928703	le
5	1	4	1	1	2	1854	131	84	41	25.369408	queda}
2	1	5	0	0	0	854	209	261	29	-1	
3	1	5	1	0	0	854	209	261	29	-1	
4	1	5	1	1	0	854	209	261	29	-1	
5	1	5	1	1	1	854	210	71	27	95.947906	VAT
5	1	5	1	1	2	936	209	89	29	96.092278	Total
5	1	5	1	1	3	1042	210	73	28	96.744202	15%
2	1	6	0	0	0	1642	211	296	33	-1	
3	1	6	1	0	0	1642	211	296	33	-1	
4	1	6	1	1	0	1642	211	296	33	-1	
5	1	6	1	1	1	1642	211	296	33	0.000000	Adliool!
5	1	6	1	1	2	1771	207	69	41	0.000000	coral
5	1	6	1	1	3	1856	207	32	41	61.098686	dy
5	1	6	1	1	4	1907	207	36	41	46.529613	uo
2	1	7	0	0	0	2222	208	115	30	-1	
3	1	7	1	0	0	2222	208	115	30	-1	
4	1	7	1	1	0	2222	208	115	30	-1	
5	1	7	1	1	1	2222	208	115	30	96.397774	899.96
2	1	8	0	0	0	853	284	398	28	-1	
3	1	8	1	0	0	853	284	398	28	-1	
4	1	8	1	1	0	853	284	398	28	-1	
5	1	8	1	1	1	853	284	90	28	96.625580	Total
5	1	8	1	1	2	957	284	81	28	96.468315	With
5	1	8	1	1	3	1052	285	71	27	96.203621	VAT
5	1	8	1	1	4	1137	291	29	21	94.875999	in
5	1	8	1	1	5	1181	285	70	27	94.875999	SAR
2	1	9	0	0	0	960	342	185	54	-1	
3	1	9	1	0	0	960	342	185	54	-1	
4	1	9	1	1	0	960	342	185	54	-1	
5	1	9	1	1	1	960	342	185	54	0.000000	Ule«=,
