level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2480	1228	-1	
2	1	1	0	0	0	119	0	2239	1214	-1	
3	1	1	1	0	0	119	0	2239	1214	-1	
4	1	1	1	1	0	795	0	343	31	-1	
5	1	1	1	1	1	795	0	35	31	62.793945	,0l
5	1	1	1	1	2	843	0	179	26	77.465347	ZIF/Fostal
5	1	1	1	1	3	1038	0	100	25	68.138885	Code:
4	1	1	1	2	0	729	42	106	29	-1	
5	1	1	1	2	1	729	42	106	29	96.249168	32273
4	1	1	1	3	0	489	95	811	37	-1	
5	1	1	1	3	1	489	95	26	29	94.882462	1.
5	1	1	1	3	2	532	95	38	29	94.882462	10
5	1	1	1	3	3	584	95	81	37	96.748390	days
5	1	1	1	3	4	680	96	119	28	96.639206	returns
5	1	1	1	3	5	815	95	106	37	96.607765	policy.
5	1	1	1	3	6	936	95	29	29	96.588989	2.
5	1	1	1	3	7	980	95	74	29	96.469223	Risk
5	1	1	1	3	8	1068	103	121	29	96.641167	passes
5	1	1	1	3	9	1203	96	31	28	96.585846	to
5	1	1	1	3	10	1247	95	53	29	96.258507	the
4	1	1	1	4	0	496	138	715	37	-1	
5	1	1	1	4	1	496	138	97	37	96.918396	buyer
5	1	1	1	4	2	606	146	83	29	96.028503	upon
5	1	1	1	4	3	703	138	144	37	96.754143	delivery.
5	1	1	1	4	4	863	138	186	37	96.555435	Ownership
5	1	1	1	4	5	1062	138	33	29	96.287827	of
5	1	1	1	4	6	1106	138	105	37	96.850998	goods
4	1	1	1	5	0	153	177	2163	45	-1	
5	1	1	1	5	1	153	180	151	37	96.568108	Payment
5	1	1	1	5	2	315	180	108	29	95.895958	Terms
5	1	1	1	5	3	445	175	20	48	83.745148	|
5	1	1	1	5	4	496	180	136	30	83.745148	remains
5	1	1	1	5	5	645	180	68	29	95.921127	with
5	1	1	1	5	6	728	180	53	29	96.887978	the
5	1	1	1	5	7	1413	182	64	40	22.263199	pall
5	1	1	1	5	8	1497	182	30	34	51.238018	Lg
5	1	1	1	5	9	1537	173	31	53	36.026260	yt
5	1	1	1	5	10	1691	177	72	32	96.536438	Our
5	1	1	1	5	11	1778	177	63	32	96.633965	Ref
5	1	1	1	5	12	2153	183	109	36	32.608948	eae
4	1	1	1	6	0	539	221	1627	39	-1	
5	1	1	1	6	1	539	231	155	29	96.351616	company
5	1	1	1	6	2	707	223	66	29	96.299118	until
5	1	1	1	6	3	785	223	46	29	96.931831	full
5	1	1	1	6	4	845	224	146	36	92.334282	payment
5	1	1	1	6	5	1004	223	23	29	95.016190	is
5	1	1	1	6	6	1041	223	151	29	96.491287	received.
5	1	1	1	6	7	1207	223	28	30	96.724892	3.
5	1	1	1	6	8	1246	223	40	29	94.677849	All
5	1	1	1	6	9	2158	221	8	4	0.000000	:
4	1	1	1	7	0	547	266	731	37	-1	
5	1	1	1	7	1	547	266	176	37	96.602638	applicable
5	1	1	1	7	2	736	267	101	33	96.773903	taxes,
5	1	1	1	7	3	853	266	112	34	96.688072	duties,
5	1	1	1	7	4	980	266	62	29	96.770088	and
5	1	1	1	7	5	1058	266	98	30	96.257492	levies
5	1	1	1	7	6	1169	266	52	29	96.289963	will
5	1	1	1	7	7	1238	266	40	29	96.696617	be
4	1	1	1	8	0	596	308	948	46	-1	
5	1	1	1	8	1	596	308	138	29	96.269745	charged
5	1	1	1	8	2	749	309	85	28	96.098328	extra
5	1	1	1	8	3	846	316	39	22	95.417427	as
5	1	1	1	8	4	901	316	53	21	96.298195	per
5	1	1	1	8	5	967	308	157	29	96.214432	prevailing
5	1	1	1	8	6	1142	308	85	30	96.730293	laws.
5	1	1	1	8	7	1404	350	8	4	13.466461	.
5	1	1	1	8	8	1537	349	7	4	49.586758	.
4	1	1	1	9	0	233	423	2124	72	-1	
5	1	1	1	9	1	233	439	110	29	42.395786	Be
5	1	1	1	9	2	453	423	1904	72	45.605034	|
4	1	1	1	10	0	1628	659	75	47	-1	
5	1	1	1	10	1	1628	659	75	47	94.765152	With
4	1	1	1	11	0	826	672	1367	22	-1	
5	1	1	1	11	1	826	689	42	4	26.654137	a
5	1	1	1	11	2	1179	687	12	6	0.000000	e
5	1	1	1	11	3	1338	687	4	5	60.957390	:
5	1	1	1	11	4	1468	688	5	5	0.000000	:
5	1	1	1	11	5	1666	672	80	22	91.699997	ithou
5	1	1	1	11	6	2189	688	4	5	73.383774	:
4	1	1	1	12	0	611	688	1699	36	-1	
5	1	1	1	12	1	611	689	68	28	83.221687	Item
5	1	1	1	12	2	693	688	23	29	92.702164	&
5	1	1	1	12	3	731	688	179	36	95.910339	Description
5	1	1	1	12	4	2091	689	80	28	93.461304	Total
5	1	1	1	12	5	2189	696	54	21	93.461304	inc.
5	1	1	1	12	6	2261	688	49	28	96.914459	VA
4	1	1	1	13	0	119	764	2170	117	-1	
5	1	1	1	13	1	119	767	54	114	66.205811	L
5	1	1	1	13	2	231	768	130	69	11.614830	sll
5	1	1	1	13	3	702	764	154	105	4.400871	asia
5	1	1	1	13	4	1433	768	91	69	23.539825	FAAS
5	1	1	1	13	5	1558	764	25	97	53.923195	|
5	1	1	1	13	6	1627	768	142	69	20.346512	AAR
5	1	1	1	13	7	1817	764	33	97	49.787361	|
5	1	1	1	13	8	1893	768	113	69	34.274689	PAIRS]
5	1	1	1	13	9	2145	768	144	69	0.000000	IRRRIRA
4	1	1	1	14	0	853	935	1482	46	-1	
5	1	1	1	14	1	853	936	90	29	96.509468	Total
5	1	1	1	14	2	956	936	145	29	96.314133	Without
5	1	1	1	14	3	1112	937	72	27	96.364326	VAT
5	1	1	1	14	4	1653	943	86	29	23.159851	Hyco
